Country,Active military,Reserve military,Paramilitary,Total,"Per 1,000 capita
(total)","Per 1,000 capita
(active)"
Afghanistan,"2,50,000","75,000","1,70,000","4,95,000",14.2,7.2
Albania,"8,000",0,0,"8,000",2.6,2.6
Algeria,"1,30,000","1,50,000","1,87,200","4,67,200",11.2,3.1
Angola,"1,07,000",0,"10,000","1,17,000",3.9,3.5
Antigua and Barbuda,180,80,0,260,2.7,1.9
Argentina,"72,100",0,"31,250","1,03,350",2.3,1.6
Armenia,"44,800","2,10,000","4,300","2,59,100",85.3,14.7
Australia,"58,600","30,100",0,"88,700",3.8,2.5
Austria,"22,050","1,25,600",0,"1,47,650",16.8,2.5
Azerbaijan,"1,26,950","3,30,000","15,000","4,71,950",47,12.6
Bahamas,"1,300",0,0,"1,300",3.9,3.9
Bahrain,"8,200",0,"11,260","19,460",13.5,5.7
Bangladesh,"1,63,050",0,"63,900","2,26,950",1.4,1
Barbados,610,430,0,"1,040",3.6,2.1
Belarus,"45,350","2,89,500","1,10,000","4,44,850",46.7,4.8
Belgium,"26,300","5,100",0,"31,400",2.7,2.3
Belize,"1,500",700,150,"2,350",6.1,3.9
Benin,"7,250",0,"4,800","12,050",1.1,0.6
Bolivia,"34,100",0,"37,100","71,200",6.3,3
Bosnia and Herzegovina,"10,500",0,0,"10,500",2.7,2.7
Botswana,"9,000",0,0,"9,000",4,4
Brazil,"3,66,500","13,40,000","3,95,000","21,01,500",10.1,1.8
Brunei,"7,200",700,450,"8,350",18.5,16
Bulgaria,"36,950","3,000",0,"39,950",5.7,5.2
Burkina Faso,"11,200",0,250,"11,450",0.6,0.6
Burundi,"30,050",0,"21,000","51,050",4.3,2.5
Cambodia,"1,24,300",0,"67,000","1,91,300",11.6,7.6
Cameroon,"25,400",0,"9,000","34,400",1.3,1
Canada,"67,400","35,600","4,500","1,07,500",3,1.9
Cape Verde,"1,200",0,0,"1,200",2.1,2.1
Central African Republic,"9,150",0,"1,000","10,150",1.8,1.6
Chad,"33,250",0,"11,900","45,150",2.9,2.1
Chile,"77,200","40,000","44,700","1,61,900",9,4.3
People's Republic of China,"21,85,000","11,70,000","6,60,000","40,15,000",2.9,1.6
Colombia,"2,93,200","34,950","1,87,900","5,16,050",10.7,6.1
Costa Rica,0,0,"9,800","9,800",2,0
Côte d'Ivoire,"27,400",0,0,"27,400",1,1
Croatia,"15,200","18,350","3,000","36,550",8.6,3.6
Cuba,"49,000","39,000","11,46,500","12,34,500",110.9,4.4
Cyprus,"15,000","50,000",750,"65,750",53.1,12.1
Czech Republic,"21,750",0,0,"21,750",2,2
Democratic Republic of the Congo,"1,34,250",0,0,"1,34,250",1.6,1.6
Denmark,"14,500","44,000",0,"58,500",10.1,2.5
Djibouti,"10,450",0,"2,650","13,100",14.8,11.8
Dominican Republic,"56,050",0,"15,000","71,050",6.9,5.4
East Timor,"2,280",0,0,"2,280",1.7,1.7
Ecuador,"40,250","1,18,000",500,"1,58,750",9.6,2.4
Egypt,"4,38,500","4,79,000","3,97,000","13,14,500",13.2,4.4
El Salvador,"24,500","9,900","17,000","51,400",8.3,4
Equatorial Guinea,"1,450",0,0,"1,450",1.8,1.8
Eritrea,"2,01,750","1,20,000",0,"3,21,750",53.9,33.8
Estonia,"7,100","17,500",0,"24,600",19.8,5.7
Ethiopia,"1,38,000",0,0,"1,38,000",1.3,1.3
Fiji,"3,500","6,000",0,"9,500",10.3,3.8
Finland,"23,800","2,54,000","14,200","2,92,000",52.7,4.3
France,"2,08,750","1,41,050","30,800","3,80,600",5.6,3.1
Gabon,"4,700",0,"2,000","6,700",3.2,2.2
Gambia,800,0,0,800,0.4,0.4
Georgia,"20,650",0,"5,400","26,050",5.3,4.2
Germany,"1,83,500","50,050",0,"2,33,550",2.9,2.3
Ghana,"15,500",0,0,"15,500",0.6,0.6
Greece,"1,42,700","2,21,350","4,000","3,68,050",34.2,13.3
Guatemala,"18,050","63,850","25,000","1,06,900",6.4,1.1
Guinea,"9,700",0,"2,600","12,300",1,0.8
Guinea-Bissau,"4,450",0,0,"4,450",2.4,2.4
Guyana,"3,400",670,0,"4,070",5.5,4.6
Haiti,150,0,50,200,0,0
Honduras,"14,950","60,000","8,000","82,950",9,1.6
Hungary,"27,800","20,000","12,000","59,800",6.1,2.8
Iceland,0,0,250,250,0.7,0
India,"14,55,550","11,55,000","25,26,950","51,37,500",4,1.1
Indonesia,"3,95,500","4,00,000","2,80,000","10,75,500",4.1,1.5
Iran,"6,10,000","3,50,000","40,000","10,00,000",12,7.3
Iraq,"1,93,000",0,"1,48,000","3,41,000",8.5,4.8
Ireland,"9,500","4,050",0,"13,550",2.7,1.9
Israel,"1,69,500","4,65,000","8,000","6,42,500",76.3,20.1
Italy,"1,65,500","18,300","1,75,750","3,59,550",5.8,2.7
Jamaica,"3,950",980,0,"4,930",1.8,1.4
Japan,"2,47,150","56,000","14,350","3,17,500",2.5,2
Jordan,"1,00,500","65,000","15,000","1,80,500",17.3,9.6
Kazakhstan,"39,000",0,"31,500","70,500",3.8,2.1
Kenya,"24,100",0,"5,000","29,100",0.6,0.5
Kosovo,"5,000","3,000","1,500","9,500",5,2.6
Kuwait,"17,500","23,700","7,100","48,300",16.6,6
Kyrgyzstan,"10,900",0,"9,500","20,400",3.5,1.9
Laos,"29,100",0,"1,00,000","1,29,100",17.8,4
Latvia,"6,210","15,900",0,"22,110",11.5,3.2
Lebanon,"60,000",0,"20,000","80,000",13.1,9.8
Lesotho,"2,000",0,0,"2,000",1,1
Liberia,"2,010",0,0,"2,010",0.4,0.4
Libya,0,0,0,0,0,0
Lithuania,"19,850","6,700","14,400","40,950",14.7,7.1
Luxembourg,900,0,600,"1,500",2.5,1.5
Madagascar,"13,500",0,"8,100","21,600",0.8,0.5
Malawi,"10,700",0,"4,200","14,900",0.8,0.5
Malaysia,"1,13,000","51,600","2,67,200","4,31,800",13.6,3.6
Mali,"13,000",0,"7,800","20,800",1.1,0.7
Malta,"1,950",180,0,"2,130",4.7,4.3
Mauritania,"15,850",0,"5,000","20,850",5.4,4.1
Mauritius,0,0,"2,550","2,550",1.9,0
Mexico,"2,16,000","81,500","1,11,900","4,09,400",3.3,1.7
