Country,Military Spending,Continent
United States,750.0B,North America
China,237.0B,Asia
Saudi Arabia,67.6B,Asia
India,61.0B,Asia
United Kingdom,55.1B,Europe
Germany,50.0B,Europe
Japan,49.0B,Asia
Russia,48.0B,Europe
South Korea,44.0B,Asia
France,41.5B,Europe
Brazil,27.8B,South America
Italy,27.8B,Europe
Australia,26.3B,Oceania
United Arab Emirates,22.8B,Asia
Canada,22.5B,North America
Israel,20.0B,Asia
Iran,19.6B,Asia
Turkey,19.0B,Asia
Spain,15.1B,Europe
Algeria,13.0B,Africa
Netherlands,12.4B,Europe
Afghanistan,12.0B,Asia
Poland,12.0B,Europe
Pakistan,11.4B,Asia
Egypt,11.2B,Africa
Singapore,11.2B,Asia
Taiwan,10.7B,Asia
Colombia,10.6B,South America
Morocco,10.0B,Africa
Oman,8.7B,Asia
Indonesia,7.6B,Asia
Norway,7.2B,Europe
Thailand,7.1B,Asia
Angola,7.0B,Africa
Mexico,7.0B,North America
Kuwait,6.8B,Asia
Sweden,6.3B,Europe
Qatar,6.0B,Asia
Vietnam,5.5B,Asia
Ukraine,5.4B,Europe
Romania,5.1B,Europe
Switzerland,5.0B,Europe
Uruguay,5.0B,South America
Belgium,4.9B,Europe
Greece,4.8B,Europe
Denmark,4.8B,Europe
New Zealand,4.3B,Oceania
South Africa,4.3B,Africa
Chile,4.3B,South America
Argentina,4.2B,South America
Kazakhstan,4.0B,Asia
Malaysia,4.0B,Asia
Bangladesh,3.8B,Asia
Finland,3.6B,Europe
Philippines,3.5B,Asia
Austria,3.4B,Europe
Portugal,3.4B,Europe
Libya,3.0B,Africa
Czech Republic,3.0B,Europe
Azerbaijan,2.8B,Asia
Myanmar,2.7B,Asia
Jordan,2.6B,Asia
Peru,2.6B,South America
Ecuador,2.5B,South America
Lebanon,2.5B,Asia
Sri Lanka,2.5B,Asia
Sudan,2.5B,Africa
Nigeria,2.2B,Africa
Slovakia,2.1B,Europe
Hungary,2.1B,Europe
Syria,1.8B,Asia
Iraq,1.7B,Asia
North Korea,1.6B,Asia
Tajikistan,1.6B,Asia
Bahrain,1.4B,Asia
Yemen,1.4B,Asia
Armenia,1.4B,Asia
Lithuania,1.1B,Europe
Bulgaria,1.1B,Europe
Uzbekistan,975.0M,Asia
Uganda,935.0M,Africa
Serbia,907.0M,Europe
Ireland,870.0M,Europe
Croatia,800.0M,Europe
Dominican Republic,760.0M,North America
Venezuela,745.0M,South America
Latvia,724.0M,Europe
Republic of the Congo,715.0M,Africa
Ghana,710.0M,Africa
Estonia,685.0M,Europe
Bolivia,660.0M,South America
Cambodia,604.0M,Asia
Slovenia,581.0M,Europe
Ivory Coast,550.0M,Africa
Tunisia,550.0M,Africa
Namibia,505.0M,Africa
Cuba,500.0M,North America
Panama,500.0M,North America
Botswana,450.0M,Africa
Ethiopia,350.0M,Africa
Cameroon,347.0M,Africa
Georgia,327.0M,Asia
Albania,250.0M,Europe
Paraguay,250.0M,South America
Mozambique,245.0M,Africa
Guatemala,240.0M,North America
Tanzania,223.0M,Africa
Nepal,213.0M,Asia
Honduras,205.0M,North America
Chad,200.0M,Africa
Turkmenistan,200.0M,Asia
El Salvador,167.0M,North America
Bosnia and Herzegovina,165.0M,Europe
Mongolia,155.0M,Asia
Nicaragua,140.0M,North America
Burkina Faso,130.0M,Africa
Kenya,121.0M,Africa
Madagascar,115.0M,Africa
North Macedonia,108.2M,Europe
DR Congo,100.0M,
Zimbabwe,100.0M,Africa
Gabon,83.0M,Africa
South Sudan,80.0M,Africa
Sierra Leone,75.5M,Africa
Mali,70.0M,Africa
Montenegro,65.0M,Europe
Suriname,63.0M,South America
Somalia,62.2M,Africa
Mauritania,50.3M,Africa
Zambia,40.0M,Africa
Moldova,30.0M,Europe
Bhutan,25.1M,Asia
Central African Republic,20.0M,Africa
Kyrgyzstan,20.0M,Asia
Laos,18.5M,Asia
Liberia,13.0M,Africa
